question	context	answers
Which of the following statements is NOT true according to the passage?	"Endangered giant pandas are facing a new threat: the loss of their food source, bamboo. In China's Qinling Mountains, giant pandas spend most of their day eating bamboo. The plant makes up 99% of the panda's diet, with some pandas eating about 40 pounds of it a day. But Qinling's pandas may soon have to find another food source. A new study cause the loss of most of the region's bamboo by the end of the century. A team made up of researchers from Michigan State University and the Chinese Academy of Sciences studied the effects of climate change on the region's three main bamboo species. They studied the influence of rising temperatures on the spread and growth of bamboo. Bamboo is sensitive to temperature changes. ""Even with a 3.6 degrees Fahrenheit increase in temperature, we found that 80% to 100% of bamboo would be gone by the end of the century,"" Liu Jianguo, one of the study's authors said. Shirley Martin, who came from Paris but not involved in the team said that it's really a demanding challenge for us to get a desired result. The Qinling Mountains, located in eastern China, are home to about 270 pandas. That is about 17% of the world's wild panda population. The panda is one of the world's most endangered species. In recent years, China has stepped up efforts to protect pandas. But Liu says the country has yet to consider the long-term efforts of climate change in its conservation planning. Aside from increasing nature reserve areas where pandas are protected, Liu wants China to lower its use of fuels that release greenhouse gases-as should the rest of the world. "" The future of pandas,"" he says, "" is in our hands."""	['Whether pandas can survive depends on their ability of adaptation.']
The library has _ .	Welcome to Our School Library Our Library is in the south of our school. The Library is open to every student and the library card is free. You can borrow five books, one CD and four videos --three weeks for books, one week for CDs and videos at the same time. BOOKS 1. You can borrow picture books for children and all kinds of story books 2. You can enjoy newspapers and magazines in the reading room. 3. You can't take any newspapers or magazines out of the library VIDEO 1. You can borrow all kinds of video films, TV plays and music videos. 2. You can't watch videos here. AUDIO , You can borrow music audios and language audios. , You can enjoy listening in the special rooms here.	['different kinds of video films']
In what way was this expedition different for Larry?	Larry was on another of his underwater expeditions but this time, it was different. He decided to take his daughter along with him. She was only ten years old. This would be her first trip with her father on what he had always been famous for. Larry first began diving when he was his daughter's age. Similarly, his father had taken him along on one of his expeditions. Since then, he had never looked back. Larry started out by renting diving suits from the small diving shop just along the shore. He had hated them. They were either too big or too small. Then, there was the instructor. He gave him a short lesson before allowing him into the water with his father. He had made an exception. Larry would never have been able to go down without at least five hours of theory and another similar number of hours on practical lessons with a guide. Children his age were not even allowed to dive. After the first expedition, Larry's later diving adventures only got better and better. There was never a dull moment. In his black and blue suit and with an oxygen tank fastened on his back, Larry dived from boats into the middle of the ocean. Dangerous areas did not prevent him from continuing his search. Sometimes, he was limited to a cage underwater but that did not bother him. At least, he was still able to take photographs of the underwater creatures. Larry's first expedition without his father was in the Cayman Islands. There were numerous diving spots in the area and Larry was determined to visit all of them. Fortunately for him, a man offered to take him around the different Spots for free. _ The diving spots afforded such a wide array of fish and sea creatures that Larry saw more than thirty varieties of creatures. Larry looked at his daughter. She looked as excited as he had been when he was her age. He hoped she would be able to continue the family tradition. Already, she looked like she was much braver than had been then. This was the key to a successful underwater expedition.	['His daughter would dive with him.']
The number of the ships lost on the whole expedition was _ .	Early in the 16th century men were trying to reach Asia by traveling west from Europe. In order to find Asia they had to find a way past South America. The man who finally found the way from the Atlantic Ocean to the Pacific was Ferdinand Magellan. Magellan sailed from Seville in August, 1519 with five ships and about 280 men. Fourteen months later, after spending the cold winter on the coast of Patagonia, he discovered the channel which is now called Magellan Strait . In November, 1520, after many months of dangers from rocks and storms, the three remaining ships entered the ocean on the other side of South America. They then continued, hoping to reach Asia. But they did not see any land until they reached the islands off the coast of Asia. Before they arrived at these islands, later known as the Philippines, men were dying of starvation. While they were staying in the Philippines, Magellan was killed in a battle. The remaining officers then had to get back to Spain. They decided to sail round Africa. After many difficulties, one ship with eighteen men sailed into Seville three years after leaving. They were all that remained of Magellan's expedition. However, their achievement was great. They were the first men to sail round the world.	['four']
How many people are talking about clothes?	Clothes are very important in our life. Different people wear different clothes. Now let's listen to some people in France talking about clothes. Hello, I'm Betty. I started working this year, so I'm able to get new clothes more often than before. I think what I look like is really important to me, so I spent much money on clothes. I like to wear bright colors and always dress up when I go to parties. I often buy all kinds of clothes and try to follow the latest fashion. Hi, I'm Jack. I don't have much to say about clothes. _ aren't the thing I'm interested in. I know little about the way of dressing. In summer, I always wear a T-shirt or something else. My name is Alice. I would like to say that clothes must be comfortable and feel easy to put on. Sometimes I buy clothes in some small street markets -- they are cheap there. I change the look of my clothes quite often -- put some flowers on them or use different buttons, just for a change. They'll look good all the time. I go shopping for clothes about once a month. I see something comfortable and fashionable and it fits me well, I would go for it and then...	['Three.']
What conclusion can be drawn from the passage?	I usually doubt about any research that concludes that people are either happier or unhappier or more or less certain of themselves than they were 50 years ago.While any of these statements might be true, they are practically impossible to prove scientifically. Still, 1 was struck by a report which concluded that today's children are significantly more anxious than children in the 1950s. In fact, the analysis showed, normal children between 9 and 17 have a higher level of anxiety today than children who were treated for mental illness 50 years ago. Why are America's kids so stressed? The report cites two main causes: increasing physical isolation brought on by high divorce rates and less involvement in community, and a growing perception that the world is a more dangerous place. Given that _ , adults can still do plenty to help the next generation to cope. At the top of the list,nurturing is a better appreciation of the limits of individualism. No child is an island. Strengthening social ties helps build communities and protect individuals against stress. To help kids build stronger connections with others, you can pull the plug on TVs and computers. Your family will thank you later.They will then have more time for face-to-face relationships, and they will get more sleep. Limit the amount of virtual violence your children are exposed to. It's not just video games and movies; children see a lot of murder and crime on the local news. Keep your expectations for your children reasonable. Many highly successful people never attended Harvard or Yale. Make exercise part of your daily routine. It will help you deal with your own anxieties and provide a good model for your kids. Sometimes anxiety is unavoidable,but it doesn't have to ruin your life.	"[""Children's anxiety can be removed with more parental care.""]"
Why did the writer hurry home to finish the essay for the contest NASA held?	On August 5 at 10:31 p.m. PST, a rover named Curiosity touched down safely on the surface of Mars, and I was lucky enough to have a front-row seat. My name is Clara, and when I was in Grade 6, I won the essay contest NASA held to name its next Mars rover. The essay I wrote was not even 250 words long, but somehow it was enough to change my life. I still remember that cold December day, sitting in a science class. I'd finished a worksheet early and decided to get a Time for Kids magazine off Mrs. Estevez's bookshelf. It was the 2008 Invention Issue, but that wasn't the only thing that caught my eye. In the magazine, there was an article about a girl who named the Mars Exploration Rovers, Spirit and Opportunity. The article also talked about the essay contest NASA was holding to name its next Mars rover. Before I even knew anything else about it, a single word flooded my 11-year-old mind: Curiosity. I couldn't wait for the bell to ring so I could get started on my essay. That afternoon, I raced home from the bus stop, sat down at the computer and typed until my fingers ached. It turned out that I was just in time. A few days later, and the contest would have closed. Five months later, shortly after I had turned 12, I was watching a National Geographic special on mammoths when the phone rang. My mom answered, and immediately, a wide smile spread across her face. When she told me that I had won, I was happier than I could ever remember being, I screamed and ran up and down the stairs and all around the house. I completely forgot about the mammoths and did not even remember to turn off the TV until it was really late. Curiosity is such an important part of who I am. I have always been fascinated by the stars, the planets, the sky and the universe. I remember as a little girl, my grandfather and I would sit together in the backyard for hours. He'd tell me stories and point out the stars. My grandfather lived in China, thousands of miles away from my home in Kansas. I loved the stars because they kept us together even when we were apart. They were always there, yet there was so much I didn't know about them. That's what I love so much about space. No matter how much we learn, it will always possess some mystery. In the past, space exploration may have been a competition to see who got somewhere first or the fastest. But now, it is one of the few things that bring people together. Science is a language that needs no translation. It doesn't matter where you're from or what you look like - you just have to have a thirst for knowledge and a passion for learning in order to succeed. People often ask me why we go to faraway places like Mars. Why do we explore? My answer to that is simple: because we can; because we're curious; because we as human beings do not just stay holed up in one place. We are constantly wondering and trying to find out what's over the hill and beyond the horizon. The curiosity rover is more than just a robot. It is more than just a titanium body and aluminum wheels. Curiosity represents the hard work, passion, love and commitment of thousands of people from all over the world who were brought together by science. Science is so awesome. It is breathtaking and mind-blowing; and sometimes, it's just a little bit crazy. The discoveries we make about our world are incredibly humbling. They move us forward and have the potential to benefit all of mankind. This December it will be four years of my life that have been tied to Curiosity in some way. I've met so many amazing people through this experience, from scientists to engineers to administrators to volunteers. Their devotion and enthusiasm inspire me greatly. My journey with Curiosity and the MSL mission team has shaped the person that I am today, as well as the person I would one day like to become. I am deeply grateful to everyone who made it possible for me to have this amazing adventure. And to you, I hope your curiosity takes you far.	['She wanted to write down what flashed through her mind in time.']
Which statement is TRUE according to the passage?	We spend a quarter of our lives asleep. Sleep is necessary for the body to rest, yet our brains continue to process information. Studies have shown that students are more successful when they sleep after studying-instead of pulling all-nighters-because the brain reviews information learned. Similarly, dreaming is an opportunity to work out emotional problems and form thoughts and memories. About 25 percent of the time spent sleeping is spent in rapid eye movement, or REM, sleep. This type of sleep is known for when dreams occur, but it also helps energize the brain and body. Researchers have found two important factors regarding humans and sleep: basicsleep need and sleep debt. Basic sleep need is the amount of sleep we need to have regularly to perform at our best. Sleep debt is the loss of sleep. A few studies say that most adults function best with a basic sleep need of seven to eight hours a night. The problem is that sleep debt also factors in, just because that you meet your basic sleep needs a few nights of the week doesn't mean it cancels out the effects of one night's sleep debt. Of course, everyone is different and some people require more or less sleep than the standard basic sleep need. But the real problem lies in what lack of sleep does over the long period to people who either does not meet his or her body's needs or for one reason or another doesn't get enough regular sleep. It is more possible for these people to have motor vehicle accidents, weight gain and risk for heart disease or diabetes and may be at increased risk for psychological conditions such as depression or drug abuse. Sleeping too long also can be associated with depression and poor health.	['People may have an idea on how to solve an emotional problem if they have a dream.']
Mr. Smith asks such a question because he wants Jack to _ .	"Jack is in bed. Mr. Smith sits beside him. ""What kind of day do you have today?"" Mr. Smith asks. ""It is a bad day for me,"" Jack answers. ""I have a fight with Tom. Then the teacher calls you and tells you about it, right?"" ""Yes , part of the day is bad,"" Mr. Smith says. But there are good parts, too. Now it is time to go to sleep. So tell me the best thing to you today. Jack is happy and he says, ""After school, I go swimming. I make a new friend in the swimming pool."" ""I am happy you have a good time,"" Mr. Smith says. ""Think about it before you go to sleep. Now I'm going to turn off the light . Have a nice dream!"" ""Good night, Dad,"" Jack says. Every night Mr. Smith and Jack have a talk like this. Every night Jack answers the same question, ""What is the best thing to you today? Every night Jack goes to sleep thinking about the best thing. It's really a good way to end a day."""	['find something good to end his day']
The best title for this passage is _ .	Sometimes in the next century, the familiar early-newspaper on the front porch will disappear. And instead of reading your newspaper, it will read to you. You'll get up and turn on the computer newspaper just like switching on the TV. An electronic voice will distribute stories about the latest events, guided by a program that selects the type of news you want. You'll even get to choose the kind of voice you want to hear. Want more information on the brief story? A simple touch makes the entire text appear. Save it in your own personal computer if you like. These are among the predictions from communication experts working on the newspaper of the future. Pictured as part of broader home based media and entertainment systems, computer newspapers would unite print and broadcast reporting, offering news and analysis with video images of news events. Most of the technology is available now, but convincing more people that they don't need paper to read a newspaper is the next step. But resistance to computer newspapers may be stronger from within journalism. Since it is such a cultural change, it may be that the present generation of journalists and publishers will have to die off before the next generation realize that the newspaper industry is no longer a newspaper industry. Technology is making the end of traditional newspapers unavoidable. Despite technological advances, it could take decades to replace news-print with computer screens. It might take 30 to 40 years to complete the changeover because people need to buy computers and because newspapers have established financial interests in the paper industry.	['Newspapers of the Future Will Likely Be on Computers']
